2023-11-13 20:50:46,730 INFO    StreamThr :3145398 [internal.py:wandb_internal():89] W&B internal server running at pid: 3145398, started at: 2023-11-13 20:50:46.730046
2023-11-13 20:50:46,731 DEBUG   HandlerThread:3145398 [handler.py:handle_request():146] handle_request: status
2023-11-13 20:50:46,732 INFO    WriterThread:3145398 [datastore.py:open_for_write():85] open: /alpha/overcooked_rl/algorithms/wandb/run-20231113_205046-vm4j0b5w/run-vm4j0b5w.wandb
2023-11-13 20:50:46,733 DEBUG   SenderThread:3145398 [sender.py:send():380] send: header
2023-11-13 20:50:46,751 DEBUG   SenderThread:3145398 [sender.py:send():380] send: run
2023-11-13 20:50:47,495 INFO    SenderThread:3145398 [dir_watcher.py:__init__():211] watching files in: /alpha/overcooked_rl/algorithms/wandb/run-20231113_205046-vm4j0b5w/files
2023-11-13 20:50:47,495 INFO    SenderThread:3145398 [sender.py:_start_run_threads():1125] run started: vm4j0b5w with start time 1699879846.729887
2023-11-13 20:50:47,501 DEBUG   HandlerThread:3145398 [handler.py:handle_request():146] handle_request: check_version
2023-11-13 20:50:47,501 DEBUG   SenderThread:3145398 [sender.py:send_request():407] send_request: check_version
2023-11-13 20:50:48,756 DEBUG   HandlerThread:3145398 [handler.py:handle_request():146] handle_request: run_start
2023-11-13 20:50:48,761 DEBUG   HandlerThread:3145398 [system_info.py:__init__():32] System info init
2023-11-13 20:50:48,761 DEBUG   HandlerThread:3145398 [system_info.py:__init__():47] System info init done
2023-11-13 20:50:48,761 INFO    HandlerThread:3145398 [system_monitor.py:start():194] Starting system monitor
2023-11-13 20:50:48,761 INFO    SystemMonitor:3145398 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-13 20:50:48,761 INFO    HandlerThread:3145398 [system_monitor.py:probe():214] Collecting system info
2023-11-13 20:50:48,761 INFO    SystemMonitor:3145398 [interfaces.py:start():190] Started cpu monitoring
2023-11-13 20:50:48,762 INFO    SystemMonitor:3145398 [interfaces.py:start():190] Started disk monitoring
2023-11-13 20:50:48,762 INFO    SystemMonitor:3145398 [interfaces.py:start():190] Started gpu monitoring
2023-11-13 20:50:48,762 INFO    SystemMonitor:3145398 [interfaces.py:start():190] Started memory monitoring
2023-11-13 20:50:48,763 INFO    SystemMonitor:3145398 [interfaces.py:start():190] Started network monitoring
2023-11-13 20:50:48,772 DEBUG   HandlerThread:3145398 [system_info.py:probe():196] Probing system
2023-11-13 20:50:48,780 DEBUG   HandlerThread:3145398 [system_info.py:_probe_git():181] Probing git
2023-11-13 20:50:48,788 DEBUG   HandlerThread:3145398 [system_info.py:_probe_git():189] Probing git done
2023-11-13 20:50:48,788 DEBUG   HandlerThread:3145398 [system_info.py:probe():244] Probing system done
